YearMonth,Other,China Only,US Only,US-China Collaboration,US-Non China,Etc
2001-H1,0.7192982455558633,0.052631578959372115,0.21052631578485687,1.7543859647276086e-11,0.017543859664819948,1.7543859647276086e-11
2001-H2,0.5581395348290968,0.02325581397349919,0.3720930232271498,2.3255813950243376e-11,0.02325581397349919,0.02325581397349919
2002-H1,0.5846153845768047,0.04615384616497042,0.3538461538288758,0.015384615398579885,1.5384615383195268e-11,1.5384615383195268e-11
2002-H2,0.734693877481466,2.0408163262807165e-11,0.2040816326484798,2.0408163262807165e-11,0.061224489808829656,2.0408163262807165e-11
2003-H1,0.7499999999204544,0.06818181819524793,0.1818181818161157,2.2727272724173556e-11,2.2727272724173556e-11,2.2727272724173556e-11
2003-H2,0.6413043477951323,0.03260869566091683,0.2826086956446125,1.0869565216682422e-11,0.03260869566091683,0.010869565227551987
2004-H1,0.6153846153500986,0.0384615384714004,0.32051282050098623,0.02564102565187377,1.2820512819526629e-11,1.2820512819526629e-11
2004-H2,0.5769230768915188,0.06410256411045366,0.34615384614003947,0.012820512832347142,1.2820512819526629e-11,1.2820512819526629e-11
2005-H1,0.6119402984675875,0.029850746280908894,0.3432835820737358,0.014925373147917134,1.492537313299176e-11,1.492537313299176e-11
2005-H2,0.6206896551254458,0.06896551725148632,0.27586206895422116,1.7241379308561237e-11,0.01724137932580262,0.01724137932580262
2006-H1,0.6781609195049544,0.09195402299365835,0.2298850574669045,1.1494252872770513e-11,1.1494252872770513e-11,1.1494252872770513e-11
2006-H2,0.568421052606205,0.14736842105385042,0.23157894736432136,1.0526315788808866e-11,0.042105263165761776,0.010526315799335181
2007-H1,0.6448598130572977,0.0280373831853437,0.28971962616132413,0.0186915887933444,0.0186915887933444,9.345794391999303e-12
2007-H2,0.5747126436500198,0.05747126437534682,0.35632183906738013,0.011494252884264766,1.1494252872770513e-11,1.1494252872770513e-11
2008-H1,0.6605504586884101,0.08256880734407879,0.22018348623558626,9.174311926100497e-12,0.036697247713576304,9.174311926100497e-12
2008-H2,0.6185567010029759,0.06185567010957594,0.2783505154570093,1.0309278349877777e-11,0.04123711340982039,1.0309278349877777e-11
2009-H1,0.6465517241131095,0.09482758621061237,0.2068965517220571,0.017241379318073725,0.034482758627526755,8.620689654726517e-12
2009-H2,0.5773195876034648,0.06185567010957594,0.3092783505066426,1.0309278349877777e-11,0.05154639175969816,1.0309278349877777e-11
2010-H1,0.6640624999766847,0.05468750000524902,0.24218749999645997,0.00781250000744629,0.02343750000671387,0.00781250000744629
2010-H2,0.601769911481322,0.10619469026869763,0.23008849557185374,8.849557521654007e-12,0.04424778761711959,0.01769911505215757
2011-H1,0.6740740740515226,0.06666666667111111,0.19259259259144035,0.029629629635720165,0.03703703704279836,7.40740740707819e-12
2011-H2,0.7258064515858481,0.08064516129448492,0.1612903225809053,0.008064516136706557,0.024193548393990637,8.06451612864204e-12
2012-H1,0.6160714285473534,0.08035714286176658,0.18749999999888395,0.02678571429320791,0.08035714286176658,0.008928571437021684
2012-H2,0.6068376068150341,0.11965811966053036,0.24786324785908395,8.54700854657024e-12,0.025641025648257727,8.54700854657024e-12
2013-H1,0.475862068952723,0.11724137931239002,0.2620689655132937,0.05517241379771701,0.08275862069312723,0.006896551730749109
2013-H2,0.5833333333159723,0.06944444444849537,0.2569444444406829,0.020833333339409725,0.06250000000434028,0.006944444451099538
2014-H1,0.5723684210366171,0.12500000000164474,0.2368421052603878,0.013157894742901664,0.026315789479224378,0.026315789479224378
2014-H2,0.46825396823960697,0.1904761904750567,0.2539682539640967,0.03968253968858655,0.047619047624716554,7.93650793613001e-12
2015-H1,0.5426829268155117,0.085365853661511,0.2804878048738846,0.042682926833804286,0.03658536585841761,0.01219512195687091
2015-H2,0.5914634146186051,0.09756097561228436,0.23170731707079117,0.02439024390764426,0.042682926833804286,0.01219512195687091
2016-H1,0.5776397515374793,0.12422360248605378,0.20496894409795147,0.049689440998148225,0.03726708075016396,0.006211180130203311
2016-H2,0.5474860335067883,0.10055865922009301,0.21229050279176678,0.04469273743425611,0.08379888268434194,0.011173184362753972
2017-H1,0.4477611940214599,0.18407960198952994,0.25870646765894406,0.06467661691846736,0.024875621894779834,0.019900497516818893
2017-H2,0.5273437499915467,0.14453125000051878,0.22656249999859618,0.039062500002990726,0.05468750000262451,0.007812500003723145
2018-H1,0.4604105571795822,0.16422287390033624,0.2727272727254066,0.04692082111647647,0.04692082111647647,0.008797653961722036
2018-H2,0.45958429560795033,0.17090069284058798,0.27482678983683845,0.03695150115653185,0.050808314089365245,0.006928406468726165
2019-H1,0.44724770641815714,0.2110091743113164,0.2454128440356136,0.04816513761630965,0.04128440367145021,0.0068807339471530175
2019-H2,0.4499089253156658,0.19854280509983377,0.2440801457186439,0.061930783243403294,0.03460837887211721,0.01092896175033593
2020-H1,0.4378980891693831,0.23407643312037504,0.22452229299307777,0.05732484076537587,0.031847133759249864,0.014331210192538236
2020-H2,0.4784172661848075,0.21822541966389764,0.19784172661848073,0.049160671463675094,0.033573141487768056,0.022781774581370873
2021-H1,0.4329545454527298,0.2568181818175671,0.19772727272706092,0.03863636363723656,0.053409090909863115,0.020454545455542355
2021-H2,0.4680851063812297,0.2678916827847124,0.1750483558993711,0.042553191490081896,0.029013539652636287,0.01740812379196862
2022-H1,0.4551724137916112,0.3017241379303359,0.15344827586213733,0.027586206897271103,0.03620689655239893,0.025862068966245544
2022-H2,0.4332587621166297,0.32960477255706366,0.14243102162576093,0.04250559284171884,0.027591349739623006,0.02460850111920384
2023-H1,0.4181957186532805,0.3440366972468928,0.14373088685025812,0.039755351682539346,0.0267584097865745,0.027522935780454786
2023-H2,0.4094368340932598,0.36301369862924043,0.14231354642324667,0.03805175038110479,0.027397260274608533,0.019786910198539787
2024-H1,0.3795863909264326,0.3782521681112278,0.14609739826559268,0.0360240160111967,0.0360240160111967,0.024016010674353504
2024-H2,0.3729411764698602,0.4035294117638699,0.13941176470597855,0.03764705882398478,0.024117647059326643,0.02235294117697993
